"","time","chord_named","tran_chord_named","roman_num","norm_roman_num","one_lag_tran","two_lag_tran","three_lag_tran","four_lag_tran","composer","piece","Tonality","Type"
"1",7008,"Gmaj","Gmaj","V","V",NA,NA,NA,NA,"Beethoven","Symphony 5, mvt. 1","Minor","Symphony"
"2",7104,"Gmaj","Gmaj","V","V","Gmaj",NA,NA,NA,"Beethoven","Symphony 5, mvt. 1","Minor","Symphony"
"3",7200,"Gdom7","Gdom7","V7","V","Gmaj","Gmaj",NA,NA,"Beethoven","Symphony 5, mvt. 1","Minor","Symphony"
"4",7296,"Cmin","Cmin","i","i","Gdom7","Gmaj","Gmaj",NA,"Beethoven","Symphony 5, mvt. 1","Minor","Symphony"
"5",8064,"Gmaj","Gmaj","V","V","Cmin","Gdom7","Gmaj","Gmaj","Beethoven","Symphony 5, mvt. 1","Minor","Symphony"
"6",16896,"Cmin","Cmin","i","i","Gmaj","Cmin","Gdom7","Gmaj","Beethoven","Symphony 5, mvt. 1","Minor","Symphony"
"7",18432,"Gdom7","Gdom7","V7","V","Cmin","Gmaj","Cmin","Gdom7","Beethoven","Symphony 5, mvt. 1","Minor","Symphony"
"8",19776,"Cmin","Cmin","i","i","Gdom7","Cmin","Gmaj","Cmin","Beethoven","Symphony 5, mvt. 1","Minor","Symphony"
"9",27648,"Ddim","Ddim","iiº","iiº","Cmin","Gdom7","Cmin","Gmaj","Beethoven","Symphony 5, mvt. 1","Minor","Symphony"
"10",28416,"Cmin","Cmin","i","i","Ddim","Cmin","Gdom7","Cmin","Beethoven","Symphony 5, mvt. 1","Minor","Symphony"
"11",35520,"Fdom7","Fdom7","VI7","VI","Cmin","Ddim","Cmin","Gdom7","Beethoven","Symphony 5, mvt. 1","Minor","Symphony"
"12",38400,"Cmin7","Cmin7","i7","i","Fdom7","Cmin","Ddim","Cmin","Beethoven","Symphony 5, mvt. 1","Minor","Symphony"
"13",41280,"Fmin7","Fmin7","iv7","iv","Cmin7","Fdom7","Cmin","Ddim","Beethoven","Symphony 5, mvt. 1","Minor","Symphony"
"14",55008,"Gmaj","Gmaj","V","V","Fmin7","Cmin7","Fdom7","Cmin","Beethoven","Symphony 5, mvt. 1","Minor","Symphony"
"15",55104,"Gmaj","Gmaj","V","V","Gmaj","Fmin7","Cmin7","Fdom7","Beethoven","Symphony 5, mvt. 1","Minor","Symphony"
"16",55200,"Gdom7","Gdom7","V7","V","Gmaj","Gmaj","Fmin7","Cmin7","Beethoven","Symphony 5, mvt. 1","Minor","Symphony"
"17",55296,"Cmin","Cmin","i","i","Gdom7","Gmaj","Gmaj","Fmin7","Beethoven","Symphony 5, mvt. 1","Minor","Symphony"
"18",56064,"Gmaj","Gmaj","V","V","Cmin","Gdom7","Gmaj","Gmaj","Beethoven","Symphony 5, mvt. 1","Minor","Symphony"
"19",64896,"Cmin","Cmin","i","i","Gmaj","Cmin","Gdom7","Gmaj","Beethoven","Symphony 5, mvt. 1","Minor","Symphony"
"20",66432,"Gdom7","Gdom7","V7","V","Cmin","Gmaj","Cmin","Gdom7","Beethoven","Symphony 5, mvt. 1","Minor","Symphony"
"21",67776,"Cmin","Cmin","i","i","Gdom7","Cmin","Gmaj","Cmin","Beethoven","Symphony 5, mvt. 1","Minor","Symphony"
"22",75648,"Ddim","Ddim","iiº","iiº","Cmin","Gdom7","Cmin","Gmaj","Beethoven","Symphony 5, mvt. 1","Minor","Symphony"
"23",76416,"Cmin","Cmin","i","i","Ddim","Cmin","Gdom7","Cmin","Beethoven","Symphony 5, mvt. 1","Minor","Symphony"
"24",83520,"Fdom7","Fdom7","VI7","VI","Cmin","Ddim","Cmin","Gdom7","Beethoven","Symphony 5, mvt. 1","Minor","Symphony"
"25",86400,"Cmin7","Cmin7","i7","i","Fdom7","Cmin","Ddim","Cmin","Beethoven","Symphony 5, mvt. 1","Minor","Symphony"
"26",89280,"Fmin7","Fmin7","iv7","iv","Cmin7","Fdom7","Cmin","Ddim","Beethoven","Symphony 5, mvt. 1","Minor","Symphony"
"27",107136,"Gmin","Gmin","ii/IV","ii/IV","Fmin7","Cmin7","Fdom7","Cmin","Beethoven","Symphony 5, mvt. 1","Minor","Symphony"
"28",107520,"Dmaj","Dmaj","V/V","V/V","Gmin","Fmin7","Cmin7","Fdom7","Beethoven","Symphony 5, mvt. 1","Minor","Symphony"
"29",108288,"Dmaj","Dmaj","V/V","V/V","Dmaj","Gmin","Fmin7","Cmin7","Beethoven","Symphony 5, mvt. 1","Minor","Symphony"
"30",110976,"Gmin","Gmin","ii/IV","ii/IV","Dmaj","Dmaj","Gmin","Fmin7","Beethoven","Symphony 5, mvt. 1","Minor","Symphony"
"31",111456,"Gmin","Gmin","ii/IV","ii/IV","Gmin","Dmaj","Dmaj","Gmin","Beethoven","Symphony 5, mvt. 1","Minor","Symphony"
"32",111744,"Gmin","Gmin","ii/IV","ii/IV","Gmin","Gmin","Dmaj","Dmaj","Beethoven","Symphony 5, mvt. 1","Minor","Symphony"
"33",115296,"Gmin","Gmin","ii/IV","ii/IV","Gmin","Gmin","Gmin","Dmaj","Beethoven","Symphony 5, mvt. 1","Minor","Symphony"
"34",115392,"Gmin","Gmin","ii/IV","ii/IV","Gmin","Gmin","Gmin","Gmin","Beethoven","Symphony 5, mvt. 1","Minor","Symphony"
"35",115488,"Gmin","Gmin","ii/IV","ii/IV","Gmin","Gmin","Gmin","Gmin","Beethoven","Symphony 5, mvt. 1","Minor","Symphony"
"36",115584,"Gmin","Gmin","ii/IV","ii/IV","Gmin","Gmin","Gmin","Gmin","Beethoven","Symphony 5, mvt. 1","Minor","Symphony"
"37",116544,"Dmaj","Dmaj","V/V","V/V","Gmin","Gmin","Gmin","Gmin","Beethoven","Symphony 5, mvt. 1","Minor","Symphony"
"38",116640,"Dmaj","Dmaj","V/V","V/V","Dmaj","Gmin","Gmin","Gmin","Beethoven","Symphony 5, mvt. 1","Minor","Symphony"
"39",116736,"Dmaj","Dmaj","V/V","V/V","Dmaj","Dmaj","Gmin","Gmin","Beethoven","Symphony 5, mvt. 1","Minor","Symphony"
"40",119712,"Dmaj","Dmaj","V/V","V/V","Dmaj","Dmaj","Dmaj","Gmin","Beethoven","Symphony 5, mvt. 1","Minor","Symphony"
"41",119808,"Gmaj","Gmaj","V","V","Dmaj","Dmaj","Dmaj","Dmaj","Beethoven","Symphony 5, mvt. 1","Minor","Symphony"
"42",122688,"Gmaj","Gmaj","V","V","Gmaj","Dmaj","Dmaj","Dmaj","Beethoven","Symphony 5, mvt. 1","Minor","Symphony"
"43",122784,"Gmaj","Gmaj","V","V","Gmaj","Gmaj","Dmaj","Dmaj","Beethoven","Symphony 5, mvt. 1","Minor","Symphony"
"44",122880,"Cmaj","Cmaj","I","I","Gmaj","Gmaj","Gmaj","Dmaj","Beethoven","Symphony 5, mvt. 1","Minor","Symphony"
"45",123264,"Fmin","Fmin","iv","iv","Cmaj","Gmaj","Gmaj","Gmaj","Beethoven","Symphony 5, mvt. 1","Minor","Symphony"
"46",124800,"Fmin","Fmin","iv","iv","Fmin","Cmaj","Gmaj","Gmaj","Beethoven","Symphony 5, mvt. 1","Minor","Symphony"
