"","time","chord_named","tran_chord_named","roman_num","norm_roman_num","one_lag_tran","two_lag_tran","three_lag_tran","four_lag_tran","composer","piece","Tonality","Type"
"1",18288,"Gdom7","Cdom7","V7/IV","V/IV",NA,NA,NA,NA,"Berlioz","Symphonie Fantastique: 4. Marche au supplice","Minor","Symphony"
"2",18384,"Gdom7","Cdom7","V7/IV","V/IV","Cdom7",NA,NA,NA,"Berlioz","Symphonie Fantastique: 4. Marche au supplice","Minor","Symphony"
"3",18480,"Cmin","Fmin","iv","iv","Cdom7","Cdom7",NA,NA,"Berlioz","Symphonie Fantastique: 4. Marche au supplice","Minor","Symphony"
"4",18576,"Cmin","Fmin","iv","iv","Fmin","Cdom7","Cdom7",NA,"Berlioz","Symphonie Fantastique: 4. Marche au supplice","Minor","Symphony"
"5",18672,"Ddom7","Gdom7","V7","V","Fmin","Fmin","Cdom7","Cdom7","Berlioz","Symphonie Fantastique: 4. Marche au supplice","Minor","Symphony"
"6",18768,"Ddom7","Gdom7","V7","V","Gdom7","Fmin","Fmin","Cdom7","Berlioz","Symphonie Fantastique: 4. Marche au supplice","Minor","Symphony"
"7",18816,"Gmin","Cmin","i","i","Gdom7","Gdom7","Fmin","Fmin","Berlioz","Symphonie Fantastique: 4. Marche au supplice","Minor","Symphony"
"8",24864,"Cmin7","Fmin7","iv7","iv","Cmin","Gdom7","Gdom7","Fmin","Berlioz","Symphonie Fantastique: 4. Marche au supplice","Minor","Symphony"
"9",25824,"Gmin","Cmin","i","i","Fmin7","Cmin","Gdom7","Gdom7","Berlioz","Symphonie Fantastique: 4. Marche au supplice","Minor","Symphony"
"10",26592,"Cmin7","Fmin7","iv7","iv","Cmin","Fmin7","Cmin","Gdom7","Berlioz","Symphonie Fantastique: 4. Marche au supplice","Minor","Symphony"
"11",26664,"Cdom7","Fdom7","VI7","VI","Fmin7","Cmin","Fmin7","Cmin","Berlioz","Symphonie Fantastique: 4. Marche au supplice","Minor","Symphony"
"12",27936,"Cmin7","Fmin7","iv7","iv","Fdom7","Fmin7","Cmin","Fmin7","Berlioz","Symphonie Fantastique: 4. Marche au supplice","Minor","Symphony"
"13",28992,"Cmin7","Fmin7","iv7","iv","Fmin7","Fdom7","Fmin7","Cmin","Berlioz","Symphonie Fantastique: 4. Marche au supplice","Minor","Symphony"
"14",29088,"Cmin7","Fmin7","iv7","iv","Fmin7","Fmin7","Fdom7","Fmin7","Berlioz","Symphonie Fantastique: 4. Marche au supplice","Minor","Symphony"
"15",29376,"Dmin","Gmin","ii/IV","ii/IV","Fmin7","Fmin7","Fmin7","Fdom7","Berlioz","Symphonie Fantastique: 4. Marche au supplice","Minor","Symphony"
"16",30624,"Ddom7","Gdom7","V7","V","Gmin","Fmin7","Fmin7","Fmin7","Berlioz","Symphonie Fantastique: 4. Marche au supplice","Minor","Symphony"
"17",30672,"Ddom7","Gdom7","V7","V","Gdom7","Gmin","Fmin7","Fmin7","Berlioz","Symphonie Fantastique: 4. Marche au supplice","Minor","Symphony"
"18",31392,"Ddom7","Gdom7","V7","V","Gdom7","Gdom7","Gmin","Fmin7","Berlioz","Symphonie Fantastique: 4. Marche au supplice","Minor","Symphony"
"19",31440,"Ddom7","Gdom7","V7","V","Gdom7","Gdom7","Gdom7","Gmin","Berlioz","Symphonie Fantastique: 4. Marche au supplice","Minor","Symphony"
"20",31584,"Gmin","Cmin","i","i","Gdom7","Gdom7","Gdom7","Gdom7","Berlioz","Symphonie Fantastique: 4. Marche au supplice","Minor","Symphony"
"21",32160,"Dmin","Gmin","ii/IV","ii/IV","Cmin","Gdom7","Gdom7","Gdom7","Berlioz","Symphonie Fantastique: 4. Marche au supplice","Minor","Symphony"
"22",32208,"Cmin","Fmin","iv","iv","Gmin","Cmin","Gdom7","Gdom7","Berlioz","Symphonie Fantastique: 4. Marche au supplice","Minor","Symphony"
"23",32976,"Dmin","Gmin","ii/IV","ii/IV","Fmin","Gmin","Cmin","Gdom7","Berlioz","Symphonie Fantastique: 4. Marche au supplice","Minor","Symphony"
"24",35232,"Cmin7","Fmin7","iv7","iv","Gmin","Fmin","Gmin","Cmin","Berlioz","Symphonie Fantastique: 4. Marche au supplice","Minor","Symphony"
"25",36192,"Gmin","Cmin","i","i","Fmin7","Gmin","Fmin","Gmin","Berlioz","Symphonie Fantastique: 4. Marche au supplice","Minor","Symphony"
"26",36960,"Cmin7","Fmin7","iv7","iv","Cmin","Fmin7","Gmin","Fmin","Berlioz","Symphonie Fantastique: 4. Marche au supplice","Minor","Symphony"
"27",37032,"Cdom7","Fdom7","VI7","VI","Fmin7","Cmin","Fmin7","Gmin","Berlioz","Symphonie Fantastique: 4. Marche au supplice","Minor","Symphony"
"28",38304,"Cmin7","Fmin7","iv7","iv","Fdom7","Fmin7","Cmin","Fmin7","Berlioz","Symphonie Fantastique: 4. Marche au supplice","Minor","Symphony"
"29",39360,"Cmin7","Fmin7","iv7","iv","Fmin7","Fdom7","Fmin7","Cmin","Berlioz","Symphonie Fantastique: 4. Marche au supplice","Minor","Symphony"
"30",39456,"Cmin7","Fmin7","iv7","iv","Fmin7","Fmin7","Fdom7","Fmin7","Berlioz","Symphonie Fantastique: 4. Marche au supplice","Minor","Symphony"
"31",39744,"Dmin","Gmin","ii/IV","ii/IV","Fmin7","Fmin7","Fmin7","Fdom7","Berlioz","Symphonie Fantastique: 4. Marche au supplice","Minor","Symphony"
"32",40992,"Ddom7","Gdom7","V7","V","Gmin","Fmin7","Fmin7","Fmin7","Berlioz","Symphonie Fantastique: 4. Marche au supplice","Minor","Symphony"
"33",41040,"Ddom7","Gdom7","V7","V","Gdom7","Gmin","Fmin7","Fmin7","Berlioz","Symphonie Fantastique: 4. Marche au supplice","Minor","Symphony"
"34",41760,"Ddom7","Gdom7","V7","V","Gdom7","Gdom7","Gmin","Fmin7","Berlioz","Symphonie Fantastique: 4. Marche au supplice","Minor","Symphony"
"35",41808,"Ddom7","Gdom7","V7","V","Gdom7","Gdom7","Gdom7","Gmin","Berlioz","Symphonie Fantastique: 4. Marche au supplice","Minor","Symphony"
"36",41952,"Gmin","Cmin","i","i","Gdom7","Gdom7","Gdom7","Gdom7","Berlioz","Symphonie Fantastique: 4. Marche au supplice","Minor","Symphony"
"37",42528,"Dmin","Gmin","ii/IV","ii/IV","Cmin","Gdom7","Gdom7","Gdom7","Berlioz","Symphonie Fantastique: 4. Marche au supplice","Minor","Symphony"
"38",42576,"Cmin","Fmin","iv","iv","Gmin","Cmin","Gdom7","Gdom7","Berlioz","Symphonie Fantastique: 4. Marche au supplice","Minor","Symphony"
"39",43344,"Dmin","Gmin","ii/IV","ii/IV","Fmin","Gmin","Cmin","Gdom7","Berlioz","Symphonie Fantastique: 4. Marche au supplice","Minor","Symphony"
"40",43648,"Adim","Ddim","iiº","iiº","Gmin","Fmin","Gmin","Cmin","Berlioz","Symphonie Fantastique: 4. Marche au supplice","Minor","Symphony"
"41",44736,"Gmin","Cmin","i","i","Ddim","Gmin","Fmin","Gmin","Berlioz","Symphonie Fantastique: 4. Marche au supplice","Minor","Symphony"
"42",45120,"Cmin7","Fmin7","iv7","iv","Cmin","Ddim","Gmin","Fmin","Berlioz","Symphonie Fantastique: 4. Marche au supplice","Minor","Symphony"
"43",45216,"Dmin7","Gmin7","ii7/IV","ii/IV","Fmin7","Cmin","Ddim","Gmin","Berlioz","Symphonie Fantastique: 4. Marche au supplice","Minor","Symphony"
"44",45696,"Amin","Dmin","ii","ii","Gmin7","Fmin7","Cmin","Ddim","Berlioz","Symphonie Fantastique: 4. Marche au supplice","Minor","Symphony"
"45",45984,"Amin","Dmin","ii","ii","Dmin","Gmin7","Fmin7","Cmin","Berlioz","Symphonie Fantastique: 4. Marche au supplice","Minor","Symphony"
"46",46080,"Dmaj","Gmaj","V","V","Dmin","Dmin","Gmin7","Fmin7","Berlioz","Symphonie Fantastique: 4. Marche au supplice","Minor","Symphony"
"47",46464,"Dmaj","Gmaj","V","V","Gmaj","Dmin","Dmin","Gmin7","Berlioz","Symphonie Fantastique: 4. Marche au supplice","Minor","Symphony"
"48",46496,"Dmaj","Gmaj","V","V","Gmaj","Gmaj","Dmin","Dmin","Berlioz","Symphonie Fantastique: 4. Marche au supplice","Minor","Symphony"
"49",46560,"Ddom7","Gdom7","V7","V","Gmaj","Gmaj","Gmaj","Dmin","Berlioz","Symphonie Fantastique: 4. Marche au supplice","Minor","Symphony"
"50",46624,"Ddom7","Gdom7","V7","V","Gdom7","Gmaj","Gmaj","Gmaj","Berlioz","Symphonie Fantastique: 4. Marche au supplice","Minor","Symphony"
"51",46688,"Dmaj","Gmaj","V","V","Gdom7","Gdom7","Gmaj","Gmaj","Berlioz","Symphonie Fantastique: 4. Marche au supplice","Minor","Symphony"
"52",46752,"Dmaj","Gmaj","V","V","Gmaj","Gdom7","Gdom7","Gmaj","Berlioz","Symphonie Fantastique: 4. Marche au supplice","Minor","Symphony"
"53",46816,"Dmaj","Gmaj","V","V","Gmaj","Gmaj","Gdom7","Gdom7","Berlioz","Symphonie Fantastique: 4. Marche au supplice","Minor","Symphony"
"54",46848,"Dmaj","Gmaj","V","V","Gmaj","Gmaj","Gmaj","Gdom7","Berlioz","Symphonie Fantastique: 4. Marche au supplice","Minor","Symphony"
"55",47072,"Dmaj7","Gmaj7","VM7","V","Gmaj","Gmaj","Gmaj","Gmaj","Berlioz","Symphonie Fantastique: 4. Marche au supplice","Minor","Symphony"
"56",47104,"Dmaj","Gmaj","V","V","Gmaj7","Gmaj","Gmaj","Gmaj","Berlioz","Symphonie Fantastique: 4. Marche au supplice","Minor","Symphony"
"57",47200,"Dmaj","Gmaj","V","V","Gmaj","Gmaj7","Gmaj","Gmaj","Berlioz","Symphonie Fantastique: 4. Marche au supplice","Minor","Symphony"
"58",47232,"Gmin","Cmin","i","i","Gmaj","Gmaj","Gmaj7","Gmaj","Berlioz","Symphonie Fantastique: 4. Marche au supplice","Minor","Symphony"
"59",48000,"Gmin","Cmin","i","i","Cmin","Gmaj","Gmaj","Gmaj7","Berlioz","Symphonie Fantastique: 4. Marche au supplice","Minor","Symphony"
"60",48720,"Gmin","Cmin","i","i","Cmin","Cmin","Gmaj","Gmaj","Berlioz","Symphonie Fantastique: 4. Marche au supplice","Minor","Symphony"
"61",48768,"Cmin7","Fmin7","iv7","iv","Cmin","Cmin","Cmin","Gmaj","Berlioz","Symphonie Fantastique: 4. Marche au supplice","Minor","Symphony"
"62",49152,"Dmin","Gmin","ii/IV","ii/IV","Fmin7","Cmin","Cmin","Cmin","Berlioz","Symphonie Fantastique: 4. Marche au supplice","Minor","Symphony"
"63",49536,"Ahalfdim7","Dhalfdim7","iiø7","iiº","Gmin","Fmin7","Cmin","Cmin","Berlioz","Symphonie Fantastique: 4. Marche au supplice","Minor","Symphony"
"64",49728,"Dmaj","Gmaj","V","V","Dhalfdim7","Gmin","Fmin7","Cmin","Berlioz","Symphonie Fantastique: 4. Marche au supplice","Minor","Symphony"
"65",53760,"Gmin","Cmin","i","i","Gmaj","Dhalfdim7","Gmin","Fmin7","Berlioz","Symphonie Fantastique: 4. Marche au supplice","Minor","Symphony"
"66",54624,"Gmin","Cmin","i","i","Cmin","Gmaj","Dhalfdim7","Gmin","Berlioz","Symphonie Fantastique: 4. Marche au supplice","Minor","Symphony"
"67",54720,"Gmin","Cmin","i","i","Cmin","Cmin","Gmaj","Dhalfdim7","Berlioz","Symphonie Fantastique: 4. Marche au supplice","Minor","Symphony"
"68",56160,"Gmin","Cmin","i","i","Cmin","Cmin","Cmin","Gmaj","Berlioz","Symphonie Fantastique: 4. Marche au supplice","Minor","Symphony"
"69",56256,"Gmin","Cmin","i","i","Cmin","Cmin","Cmin","Cmin","Berlioz","Symphonie Fantastique: 4. Marche au supplice","Minor","Symphony"
"70",57216,"Amin","Dmin","ii","ii","Cmin","Cmin","Cmin","Cmin","Berlioz","Symphonie Fantastique: 4. Marche au supplice","Minor","Symphony"
"71",57576,"D#/Eb, F#/Gb, A, C - fulldim7","D, F, G#/Ab, B - fulldim7","viiº7","viiº","Dmin","Cmin","Cmin","Cmin","Berlioz","Symphonie Fantastique: 4. Marche au supplice","Minor","Symphony"
"72",57600,"Gmin","Cmin","i","i","D, F, G#/Ab, B - fulldim7","Dmin","Cmin","Cmin","Berlioz","Symphonie Fantastique: 4. Marche au supplice","Minor","Symphony"
"73",57984,"Amin","Dmin","ii","ii","Cmin","D, F, G#/Ab, B - fulldim7","Dmin","Cmin","Berlioz","Symphonie Fantastique: 4. Marche au supplice","Minor","Symphony"
"74",58344,"D#/Eb, F#/Gb, A, C - fulldim7","D, F, G#/Ab, B - fulldim7","viiº7","viiº","Dmin","Cmin","D, F, G#/Ab, B - fulldim7","Dmin","Berlioz","Symphonie Fantastique: 4. Marche au supplice","Minor","Symphony"
"75",58368,"Gmin","Cmin","i","i","D, F, G#/Ab, B - fulldim7","Dmin","Cmin","D, F, G#/Ab, B - fulldim7","Berlioz","Symphonie Fantastique: 4. Marche au supplice","Minor","Symphony"
"76",61440,"Dmaj","Gmaj","V","V","Cmin","D, F, G#/Ab, B - fulldim7","Dmin","Cmin","Berlioz","Symphonie Fantastique: 4. Marche au supplice","Minor","Symphony"
"77",61888,"Cmin","Fmin","iv","iv","Gmaj","Cmin","D, F, G#/Ab, B - fulldim7","Dmin","Berlioz","Symphonie Fantastique: 4. Marche au supplice","Minor","Symphony"
"78",61920,"Gmin","Cmin","i","i","Fmin","Gmaj","Cmin","D, F, G#/Ab, B - fulldim7","Berlioz","Symphonie Fantastique: 4. Marche au supplice","Minor","Symphony"
"79",62016,"Dmin","Gmin","ii/IV","ii/IV","Cmin","Fmin","Gmaj","Cmin","Berlioz","Symphonie Fantastique: 4. Marche au supplice","Minor","Symphony"
"80",62144,"Gmin","Cmin","i","i","Gmin","Cmin","Fmin","Gmaj","Berlioz","Symphonie Fantastique: 4. Marche au supplice","Minor","Symphony"
"81",62208,"Gmin","Cmin","i","i","Cmin","Gmin","Cmin","Fmin","Berlioz","Symphonie Fantastique: 4. Marche au supplice","Minor","Symphony"
"82",62400,"Cmin","Fmin","iv","iv","Cmin","Cmin","Gmin","Cmin","Berlioz","Symphonie Fantastique: 4. Marche au supplice","Minor","Symphony"
"83",62592,"Gmin","Cmin","i","i","Fmin","Cmin","Cmin","Gmin","Berlioz","Symphonie Fantastique: 4. Marche au supplice","Minor","Symphony"
