"","time","chord_named","tran_chord_named","roman_num","norm_roman_num","one_lag_tran","two_lag_tran","three_lag_tran","four_lag_tran","composer","piece","Tonality","Type"
"1",14112,"Bmin","Amin","vi","vi",NA,NA,NA,NA,"Mahler","Symphony No.5 in C#-, 5.Rondo-Finale: Allegro","Major","Symphony"
"2",14208,"Bmin","Amin","vi","vi","Amin",NA,NA,NA,"Mahler","Symphony No.5 in C#-, 5.Rondo-Finale: Allegro","Major","Symphony"
"3",14304,"Gmaj","Fmaj","IV","IV","Amin","Amin",NA,NA,"Mahler","Symphony No.5 in C#-, 5.Rondo-Finale: Allegro","Major","Symphony"
"4",14400,"Bmin","Amin","vi","vi","Fmaj","Amin","Amin",NA,"Mahler","Symphony No.5 in C#-, 5.Rondo-Finale: Allegro","Major","Symphony"
"5",14496,"Dmaj","Cmaj","I","I","Amin","Fmaj","Amin","Amin","Mahler","Symphony No.5 in C#-, 5.Rondo-Finale: Allegro","Major","Symphony"
"6",14592,"Amaj","Gmaj","V","V","Cmaj","Amin","Fmaj","Amin","Mahler","Symphony No.5 in C#-, 5.Rondo-Finale: Allegro","Major","Symphony"
"7",14688,"Amaj","Gmaj","V","V","Gmaj","Cmaj","Amin","Fmaj","Mahler","Symphony No.5 in C#-, 5.Rondo-Finale: Allegro","Major","Symphony"
"8",14784,"Amaj","Gmaj","V","V","Gmaj","Gmaj","Cmaj","Amin","Mahler","Symphony No.5 in C#-, 5.Rondo-Finale: Allegro","Major","Symphony"
"9",15024,"F#/Gbmin","Emin","iii","iii","Gmaj","Gmaj","Gmaj","Cmaj","Mahler","Symphony No.5 in C#-, 5.Rondo-Finale: Allegro","Major","Symphony"
"10",15072,"Bmin","Amin","vi","vi","Emin","Gmaj","Gmaj","Gmaj","Mahler","Symphony No.5 in C#-, 5.Rondo-Finale: Allegro","Major","Symphony"
"11",15264,"Emaj","Dmaj","V/V","V/V","Amin","Emin","Gmaj","Gmaj","Mahler","Symphony No.5 in C#-, 5.Rondo-Finale: Allegro","Major","Symphony"
"12",15360,"Amaj","Gmaj","V","V","Dmaj","Amin","Emin","Gmaj","Mahler","Symphony No.5 in C#-, 5.Rondo-Finale: Allegro","Major","Symphony"
"13",15648,"F#/Gbmin","Emin","iii","iii","Gmaj","Dmaj","Amin","Emin","Mahler","Symphony No.5 in C#-, 5.Rondo-Finale: Allegro","Major","Symphony"
"14",15696,"Bmin","Amin","vi","vi","Emin","Gmaj","Dmaj","Amin","Mahler","Symphony No.5 in C#-, 5.Rondo-Finale: Allegro","Major","Symphony"
"15",15744,"Amaj","Gmaj","V","V","Amin","Emin","Gmaj","Dmaj","Mahler","Symphony No.5 in C#-, 5.Rondo-Finale: Allegro","Major","Symphony"
"16",15841,"Amaj","Gmaj","V","V","Gmaj","Amin","Emin","Gmaj","Mahler","Symphony No.5 in C#-, 5.Rondo-Finale: Allegro","Major","Symphony"
"17",15888,"Amaj","Gmaj","V","V","Gmaj","Gmaj","Amin","Emin","Mahler","Symphony No.5 in C#-, 5.Rondo-Finale: Allegro","Major","Symphony"
"18",16008,"Bmin","Amin","vi","vi","Gmaj","Gmaj","Gmaj","Amin","Mahler","Symphony No.5 in C#-, 5.Rondo-Finale: Allegro","Major","Symphony"
"19",16128,"Emaj","Dmaj","V/V","V/V","Amin","Gmaj","Gmaj","Gmaj","Mahler","Symphony No.5 in C#-, 5.Rondo-Finale: Allegro","Major","Symphony"
"20",16224,"Amaj","Gmaj","V","V","Dmaj","Amin","Gmaj","Gmaj","Mahler","Symphony No.5 in C#-, 5.Rondo-Finale: Allegro","Major","Symphony"
"21",16320,"Emaj","Dmaj","V/V","V/V","Gmaj","Dmaj","Amin","Gmaj","Mahler","Symphony No.5 in C#-, 5.Rondo-Finale: Allegro","Major","Symphony"
"22",16416,"Amaj","Gmaj","V","V","Dmaj","Gmaj","Dmaj","Amin","Mahler","Symphony No.5 in C#-, 5.Rondo-Finale: Allegro","Major","Symphony"
"23",20544,"Amaj","Gmaj","V","V","Gmaj","Dmaj","Gmaj","Dmaj","Mahler","Symphony No.5 in C#-, 5.Rondo-Finale: Allegro","Major","Symphony"
"24",20928,"Emin","Dmin","ii","ii","Gmaj","Gmaj","Dmaj","Gmaj","Mahler","Symphony No.5 in C#-, 5.Rondo-Finale: Allegro","Major","Symphony"
"25",20976,"F#/Gbmin","Emin","iii","iii","Dmin","Gmaj","Gmaj","Dmaj","Mahler","Symphony No.5 in C#-, 5.Rondo-Finale: Allegro","Major","Symphony"
"26",21024,"Gmaj","Fmaj","IV","IV","Emin","Dmin","Gmaj","Gmaj","Mahler","Symphony No.5 in C#-, 5.Rondo-Finale: Allegro","Major","Symphony"
"27",21120,"C#/Dbdim","Bdim","viiº","viiº","Fmaj","Emin","Dmin","Gmaj","Mahler","Symphony No.5 in C#-, 5.Rondo-Finale: Allegro","Major","Symphony"
"28",21168,"F#/Gbmin","Emin","iii","iii","Bdim","Fmaj","Emin","Dmin","Mahler","Symphony No.5 in C#-, 5.Rondo-Finale: Allegro","Major","Symphony"
"29",21504,"Dmaj","Cmaj","I","I","Emin","Bdim","Fmaj","Emin","Mahler","Symphony No.5 in C#-, 5.Rondo-Finale: Allegro","Major","Symphony"
"30",26688,"Dmaj","Cmaj","I","I","Cmaj","Emin","Bdim","Fmaj","Mahler","Symphony No.5 in C#-, 5.Rondo-Finale: Allegro","Major","Symphony"
"31",26880,"Amaj","Gmaj","V","V","Cmaj","Cmaj","Emin","Bdim","Mahler","Symphony No.5 in C#-, 5.Rondo-Finale: Allegro","Major","Symphony"
"32",27072,"Dmaj","Cmaj","I","I","Gmaj","Cmaj","Cmaj","Emin","Mahler","Symphony No.5 in C#-, 5.Rondo-Finale: Allegro","Major","Symphony"
"33",27264,"Amaj","Gmaj","V","V","Cmaj","Gmaj","Cmaj","Cmaj","Mahler","Symphony No.5 in C#-, 5.Rondo-Finale: Allegro","Major","Symphony"
"34",27456,"Dmaj","Cmaj","I","I","Gmaj","Cmaj","Gmaj","Cmaj","Mahler","Symphony No.5 in C#-, 5.Rondo-Finale: Allegro","Major","Symphony"
"35",27840,"Amaj","Gmaj","V","V","Cmaj","Gmaj","Cmaj","Gmaj","Mahler","Symphony No.5 in C#-, 5.Rondo-Finale: Allegro","Major","Symphony"
"36",28992,"Dmaj","Cmaj","I","I","Gmaj","Cmaj","Gmaj","Cmaj","Mahler","Symphony No.5 in C#-, 5.Rondo-Finale: Allegro","Major","Symphony"
"37",29136,"Bmin","Amin","vi","vi","Cmaj","Gmaj","Cmaj","Gmaj","Mahler","Symphony No.5 in C#-, 5.Rondo-Finale: Allegro","Major","Symphony"
"38",29376,"Dmaj","Cmaj","I","I","Amin","Cmaj","Gmaj","Cmaj","Mahler","Symphony No.5 in C#-, 5.Rondo-Finale: Allegro","Major","Symphony"
"39",29520,"F#/Gbmin","Emin","iii","iii","Cmaj","Amin","Cmaj","Gmaj","Mahler","Symphony No.5 in C#-, 5.Rondo-Finale: Allegro","Major","Symphony"
"40",29712,"Gmaj","Fmaj","IV","IV","Emin","Cmaj","Amin","Cmaj","Mahler","Symphony No.5 in C#-, 5.Rondo-Finale: Allegro","Major","Symphony"
"41",29760,"Dmaj","Cmaj","I","I","Fmaj","Emin","Cmaj","Amin","Mahler","Symphony No.5 in C#-, 5.Rondo-Finale: Allegro","Major","Symphony"
"42",30672,"C#/Dbdim","Bdim","viiº","viiº","Cmaj","Fmaj","Emin","Cmaj","Mahler","Symphony No.5 in C#-, 5.Rondo-Finale: Allegro","Major","Symphony"
"43",30720,"Dmaj","Cmaj","I","I","Bdim","Cmaj","Fmaj","Emin","Mahler","Symphony No.5 in C#-, 5.Rondo-Finale: Allegro","Major","Symphony"
