"","time","chord_named","tran_chord_named","roman_num","norm_roman_num","one_lag_tran","two_lag_tran","three_lag_tran","four_lag_tran","composer","piece","Tonality","Type"
"1",0,"Cmaj","Cmaj","I","I",NA,NA,NA,NA,"Verdi","Ave Maria","Major","Symphony"
"2",3720,"Emin","Emin","iii","iii","Cmaj",NA,NA,NA,"Verdi","Ave Maria","Major","Symphony"
"3",5760,"Fmin","Fmin","iv","iv","Emin","Cmaj",NA,NA,"Verdi","Ave Maria","Major","Symphony"
"4",6000,"Fmin","Fmin","iv","iv","Fmin","Emin","Cmaj",NA,"Verdi","Ave Maria","Major","Symphony"
"5",6840,"Fmin","Fmin","iv","iv","Fmin","Fmin","Emin","Cmaj","Verdi","Ave Maria","Major","Symphony"
"6",9600,"Emaj","Emaj","III","III","Fmin","Fmin","Fmin","Emin","Verdi","Ave Maria","Major","Symphony"
"7",14880,"Fmin","Fmin","iv","iv","Emaj","Fmin","Fmin","Fmin","Verdi","Ave Maria","Major","Symphony"
"8",16320,"Amin","Amin","vi","vi","Fmin","Emaj","Fmin","Fmin","Verdi","Ave Maria","Major","Symphony"
"9",16560,"Amin","Amin","vi","vi","Amin","Fmin","Emaj","Fmin","Verdi","Ave Maria","Major","Symphony"
"10",18240,"Amaj","Amaj","VI","VI","Amin","Amin","Fmin","Emaj","Verdi","Ave Maria","Major","Symphony"
"11",22560,"Fmaj","Fmaj","IV","IV","Amaj","Amin","Amin","Fmin","Verdi","Ave Maria","Major","Symphony"
"12",23040,"Fmaj","Fmaj","IV","IV","Fmaj","Amaj","Amin","Amin","Verdi","Ave Maria","Major","Symphony"
"13",23280,"Fmaj","Fmaj","IV","IV","Fmaj","Fmaj","Amaj","Amin","Verdi","Ave Maria","Major","Symphony"
"14",23460,"Fmaj","Fmaj","IV","IV","Fmaj","Fmaj","Fmaj","Amaj","Verdi","Ave Maria","Major","Symphony"
"15",24840,"Gmaj","Gmaj","V","V","Fmaj","Fmaj","Fmaj","Fmaj","Verdi","Ave Maria","Major","Symphony"
"16",26400,"Dmin","Dmin","ii","ii","Gmaj","Fmaj","Fmaj","Fmaj","Verdi","Ave Maria","Major","Symphony"
"17",27360,"Cdom7","Cdom7","V7/IV","V/IV","Dmin","Gmaj","Fmaj","Fmaj","Verdi","Ave Maria","Major","Symphony"
"18",33600,"Cmaj","Cmaj","I","I","Cdom7","Dmin","Gmaj","Fmaj","Verdi","Ave Maria","Major","Symphony"
"19",4800,"Dmin","Cmin","i","i",NA,NA,NA,NA,"Verdi","Alzira (tragedia lirica), 1.Sinfonia","Minor","Opera"
"20",5280,"Dmin","Cmin","i","i","Cmin",NA,NA,NA,"Verdi","Alzira (tragedia lirica), 1.Sinfonia","Minor","Opera"
