"","time","chord_named","tran_chord_named","roman_num","norm_roman_num","one_lag_tran","two_lag_tran","three_lag_tran","four_lag_tran","composer","piece","Tonality","Type"
"1",259188,"Emaj","Amaj","VI","VI",NA,NA,NA,NA,"Chopin","Ballade No 1 in G Minor","Minor","Solo Piano"
"2",439940,"Gmin","Cmin","i","i","Amaj",NA,NA,NA,"Chopin","Ballade No 1 in G Minor","Minor","Solo Piano"
"3",443500,"Gmin","Cmin","i","i","Cmin","Amaj",NA,NA,"Chopin","Ballade No 1 in G Minor","Minor","Solo Piano"
"4",453716,"Gmin","Cmin","i","i","Cmin","Cmin","Amaj",NA,"Chopin","Ballade No 1 in G Minor","Minor","Solo Piano"
"5",462700,"F#/Gbdim","Bdim","viiº","viiº","Cmin","Cmin","Cmin","Amaj","Chopin","Ballade No 1 in G Minor","Minor","Solo Piano"
"6",501985,"Gmin","Cmin","i","i","Bdim","Cmin","Cmin","Cmin","Chopin","Ballade No 1 in G Minor","Minor","Solo Piano"
"7",3165,"Amin","Fmin","iv","iv",NA,NA,NA,NA,"Chopin","Nocturne No.19 in E-","Minor","Solo Piano"
"8",3571,"Bmaj","Gmaj","V","V","Fmin",NA,NA,NA,"Chopin","Nocturne No.19 in E-","Minor","Solo Piano"
"9",3996,"Bmaj","Gmaj","V","V","Gmaj","Fmin",NA,NA,"Chopin","Nocturne No.19 in E-","Minor","Solo Piano"
"10",10292,"Emin","Cmin","i","i","Gmaj","Gmaj","Fmin",NA,"Chopin","Nocturne No.19 in E-","Minor","Solo Piano"
"11",10354,"F#/Gbdim","Ddim","iiº","iiº","Cmin","Gmaj","Gmaj","Fmin","Chopin","Nocturne No.19 in E-","Minor","Solo Piano"
"12",10412,"Emin","Cmin","i","i","Ddim","Cmin","Gmaj","Gmaj","Chopin","Nocturne No.19 in E-","Minor","Solo Piano"
"13",10473,"Bmaj","Gmaj","V","V","Cmin","Ddim","Cmin","Gmaj","Chopin","Nocturne No.19 in E-","Minor","Solo Piano"
"14",10913,"Bmaj","Gmaj","V","V","Gmaj","Cmin","Ddim","Cmin","Chopin","Nocturne No.19 in E-","Minor","Solo Piano"
"15",11470,"Bmin","Gmin","ii/IV","ii/IV","Gmaj","Gmaj","Cmin","Ddim","Chopin","Nocturne No.19 in E-","Minor","Solo Piano"
"16",14254,"Emin","Cmin","i","i","Gmin","Gmaj","Gmaj","Cmin","Chopin","Nocturne No.19 in E-","Minor","Solo Piano"
"17",14652,"Bmin","Gmin","ii/IV","ii/IV","Cmin","Gmin","Gmaj","Gmaj","Chopin","Nocturne No.19 in E-","Minor","Solo Piano"
"18",16914,"Bmin","Gmin","ii/IV","ii/IV","Gmin","Cmin","Gmin","Gmaj","Chopin","Nocturne No.19 in E-","Minor","Solo Piano"
"19",21557,"Emin","Cmin","i","i","Gmin","Gmin","Cmin","Gmin","Chopin","Nocturne No.19 in E-","Minor","Solo Piano"
"20",23008,"C#/Dbmin7","Amin7","vi7","vi","Cmin","Gmin","Gmin","Cmin","Chopin","Nocturne No.19 in E-","Minor","Solo Piano"
"21",23513,"Emaj","Cmaj","I","I","Amin7","Cmin","Gmin","Gmin","Chopin","Nocturne No.19 in E-","Minor","Solo Piano"
"22",24038,"Emin","Cmin","i","i","Cmaj","Amin7","Cmin","Gmin","Chopin","Nocturne No.19 in E-","Minor","Solo Piano"
"23",34839,"Emin","Cmin","i","i","Cmin","Cmaj","Amin7","Cmin","Chopin","Nocturne No.19 in E-","Minor","Solo Piano"
"24",34898,"F#/Gbdim","Ddim","iiº","iiº","Cmin","Cmin","Cmaj","Amin7","Chopin","Nocturne No.19 in E-","Minor","Solo Piano"
"25",34954,"Emin","Cmin","i","i","Ddim","Cmin","Cmin","Cmaj","Chopin","Nocturne No.19 in E-","Minor","Solo Piano"
"26",35015,"Bmaj","Gmaj","V","V","Cmin","Ddim","Cmin","Cmin","Chopin","Nocturne No.19 in E-","Minor","Solo Piano"
"27",35398,"Bmaj","Gmaj","V","V","Gmaj","Cmin","Ddim","Cmin","Chopin","Nocturne No.19 in E-","Minor","Solo Piano"
"28",36734,"Emin","Cmin","i","i","Gmaj","Gmaj","Cmin","Ddim","Chopin","Nocturne No.19 in E-","Minor","Solo Piano"
"29",38413,"Emaj","Cmaj","I","I","Cmin","Gmaj","Gmaj","Cmin","Chopin","Nocturne No.19 in E-","Minor","Solo Piano"
"30",42034,"Amin","Fmin","iv","iv","Cmaj","Cmin","Gmaj","Gmaj","Chopin","Nocturne No.19 in E-","Minor","Solo Piano"
"31",43234,"Bmin","Gmin","ii/IV","ii/IV","Fmin","Cmaj","Cmin","Gmaj","Chopin","Nocturne No.19 in E-","Minor","Solo Piano"
"32",43434,"F#/Gbmin7","Dmin7","ii7","ii","Gmin","Fmin","Cmaj","Cmin","Chopin","Nocturne No.19 in E-","Minor","Solo Piano"
"33",44412,"Amin","Fmin","iv","iv","Dmin7","Gmin","Fmin","Cmaj","Chopin","Nocturne No.19 in E-","Minor","Solo Piano"
"34",44787,"Emaj","Cmaj","I","I","Fmin","Dmin7","Gmin","Fmin","Chopin","Nocturne No.19 in E-","Minor","Solo Piano"
"35",46054,"D#/Ebdim","Bdim","viiº","viiº","Cmaj","Fmin","Dmin7","Gmin","Chopin","Nocturne No.19 in E-","Minor","Solo Piano"
"36",2504,"A#/Bbmin","Cmin","i","i",NA,NA,NA,NA,"Chopin","Scherzo No.2 in Bb-","Minor","Solo Piano"
"37",8768,"D#/Ebmin","Fmin","iv","iv","Cmin",NA,NA,NA,"Chopin","Scherzo No.2 in Bb-","Minor","Solo Piano"
"38",11624,"Cmaj","Dmaj","V/V","V/V","Fmin","Cmin",NA,NA,"Chopin","Scherzo No.2 in Bb-","Minor","Solo Piano"
"39",12407,"Fmin","Gmin","ii/IV","ii/IV","Dmaj","Fmin","Cmin",NA,"Chopin","Scherzo No.2 in Bb-","Minor","Solo Piano"
"40",38392,"A#/Bbmin","Cmin","i","i","Gmin","Dmaj","Fmin","Cmin","Chopin","Scherzo No.2 in Bb-","Minor","Solo Piano"
"41",44776,"D#/Ebmin","Fmin","iv","iv","Cmin","Gmin","Dmaj","Fmin","Chopin","Scherzo No.2 in Bb-","Minor","Solo Piano"
"42",47632,"Cdom7","Ddom7","V7/V","V/V","Fmin","Cmin","Gmin","Dmaj","Chopin","Scherzo No.2 in Bb-","Minor","Solo Piano"
"43",47772,"Cmaj","Dmaj","V/V","V/V","Ddom7","Fmin","Cmin","Gmin","Chopin","Scherzo No.2 in Bb-","Minor","Solo Piano"
"44",47868,"Fmin","Gmin","ii/IV","ii/IV","Dmaj","Ddom7","Fmin","Cmin","Chopin","Scherzo No.2 in Bb-","Minor","Solo Piano"
"45",48096,"Fmin","Gmin","ii/IV","ii/IV","Gmin","Dmaj","Ddom7","Fmin","Chopin","Scherzo No.2 in Bb-","Minor","Solo Piano"
"46",48355,"Fmin","Gmin","ii/IV","ii/IV","Gmin","Gmin","Dmaj","Ddom7","Chopin","Scherzo No.2 in Bb-","Minor","Solo Piano"
"47",78768,"Dmaj","Emaj","III","III","Gmin","Gmin","Gmin","Dmaj","Chopin","Scherzo No.2 in Bb-","Minor","Solo Piano"
"48",163392,"Adim","Bdim","viiº","viiº","Emaj","Gmin","Gmin","Gmin","Chopin","Scherzo No.2 in Bb-","Minor","Solo Piano"
"49",171996,"A#/Bbmin","Cmin","i","i","Bdim","Emaj","Gmin","Gmin","Chopin","Scherzo No.2 in Bb-","Minor","Solo Piano"
"50",173012,"Fmaj","Gmaj","V","V","Cmin","Bdim","Emaj","Gmin","Chopin","Scherzo No.2 in Bb-","Minor","Solo Piano"
"51",173359,"A#/Bbmin","Cmin","i","i","Gmaj","Cmin","Bdim","Emaj","Chopin","Scherzo No.2 in Bb-","Minor","Solo Piano"
"52",175051,"Fmaj","Gmaj","V","V","Cmin","Gmaj","Cmin","Bdim","Chopin","Scherzo No.2 in Bb-","Minor","Solo Piano"
"53",177664,"Fmaj","Gmaj","V","V","Gmaj","Cmin","Gmaj","Cmin","Chopin","Scherzo No.2 in Bb-","Minor","Solo Piano"
"54",178939,"Fmaj","Gmaj","V","V","Gmaj","Gmaj","Cmin","Gmaj","Chopin","Scherzo No.2 in Bb-","Minor","Solo Piano"
"55",186424,"A#/Bbmin","Cmin","i","i","Gmaj","Gmaj","Gmaj","Cmin","Chopin","Scherzo No.2 in Bb-","Minor","Solo Piano"
"56",192808,"D#/Ebmin","Fmin","iv","iv","Cmin","Gmaj","Gmaj","Gmaj","Chopin","Scherzo No.2 in Bb-","Minor","Solo Piano"
"57",195664,"Cmaj","Dmaj","V/V","V/V","Fmin","Cmin","Gmaj","Gmaj","Chopin","Scherzo No.2 in Bb-","Minor","Solo Piano"
"58",196188,"Fmin","Gmin","ii/IV","ii/IV","Dmaj","Fmin","Cmin","Gmaj","Chopin","Scherzo No.2 in Bb-","Minor","Solo Piano"
"59",196447,"Fmin","Gmin","ii/IV","ii/IV","Gmin","Dmaj","Fmin","Cmin","Chopin","Scherzo No.2 in Bb-","Minor","Solo Piano"
"60",229320,"Fmin","Gmin","ii/IV","ii/IV","Gmin","Gmin","Dmaj","Fmin","Chopin","Scherzo No.2 in Bb-","Minor","Solo Piano"
"61",229548,"Fmaj","Gmaj","V","V","Gmin","Gmin","Gmin","Dmaj","Chopin","Scherzo No.2 in Bb-","Minor","Solo Piano"
"62",230604,"Gmaj","Amaj","VI","VI","Gmaj","Gmin","Gmin","Gmin","Chopin","Scherzo No.2 in Bb-","Minor","Solo Piano"
"63",18120,"Emaj","Fmaj","IV","IV",NA,NA,NA,NA,"Chopin","Grand Duo on Themes from Robert Le Diable","Minor","Duet"
"64",18360,"Emaj","Fmaj","IV","IV","Fmaj",NA,NA,NA,"Chopin","Grand Duo on Themes from Robert Le Diable","Minor","Duet"
"65",19560,"Emaj","Fmaj","IV","IV","Fmaj","Fmaj",NA,NA,"Chopin","Grand Duo on Themes from Robert Le Diable","Minor","Duet"
"66",19800,"Emaj","Fmaj","IV","IV","Fmaj","Fmaj","Fmaj",NA,"Chopin","Grand Duo on Themes from Robert Le Diable","Minor","Duet"
"67",14280,"Bmaj","Cmaj","I","I","Fmaj","Fmaj","Fmaj","Fmaj","Chopin","Grand Duo on Themes from Robert Le Diable","Minor","Duet"
"68",15720,"Bmaj","Cmaj","I","I","Cmaj","Fmaj","Fmaj","Fmaj","Chopin","Grand Duo on Themes from Robert Le Diable","Minor","Duet"
"69",24600,"Emaj","Fmaj","IV","IV","Cmaj","Cmaj","Fmaj","Fmaj","Chopin","Grand Duo on Themes from Robert Le Diable","Minor","Duet"
"70",25080,"Emaj","Fmaj","IV","IV","Fmaj","Cmaj","Cmaj","Fmaj","Chopin","Grand Duo on Themes from Robert Le Diable","Minor","Duet"
"71",25320,"Emaj","Fmaj","IV","IV","Fmaj","Fmaj","Cmaj","Cmaj","Chopin","Grand Duo on Themes from Robert Le Diable","Minor","Duet"
"72",25800,"Emaj","Fmaj","IV","IV","Fmaj","Fmaj","Fmaj","Cmaj","Chopin","Grand Duo on Themes from Robert Le Diable","Minor","Duet"
"73",26280,"Emaj","Fmaj","IV","IV","Fmaj","Fmaj","Fmaj","Fmaj","Chopin","Grand Duo on Themes from Robert Le Diable","Minor","Duet"
