"","time","chord_named","tran_chord_named","roman_num","norm_roman_num","one_lag_tran","two_lag_tran","three_lag_tran","four_lag_tran","composer","piece","Tonality","Type"
"1",361,"Gmin","Cmin","i","i",NA,NA,NA,NA,"Rachmaninoff","Prelude Number 5 in G Minor","Minor","Solo Piano"
"2",4201,"Gmin","Cmin","i","i","Cmin",NA,NA,NA,"Rachmaninoff","Prelude Number 5 in G Minor","Minor","Solo Piano"
"3",7917,"Dmaj","Gmaj","V","V","Cmin","Cmin",NA,NA,"Rachmaninoff","Prelude Number 5 in G Minor","Minor","Solo Piano"
"4",13437,"Gmin","Cmin","i","i","Gmaj","Cmin","Cmin",NA,"Rachmaninoff","Prelude Number 5 in G Minor","Minor","Solo Piano"
"5",18597,"Gmin","Cmin","i","i","Cmin","Gmaj","Cmin","Cmin","Rachmaninoff","Prelude Number 5 in G Minor","Minor","Solo Piano"
"6",19922,"Gmin","Cmin","i","i","Cmin","Cmin","Gmaj","Cmin","Rachmaninoff","Prelude Number 5 in G Minor","Minor","Solo Piano"
"7",28080,"Dmaj","Gmaj","V","V","Cmin","Cmin","Cmin","Gmaj","Rachmaninoff","Prelude Number 5 in G Minor","Minor","Solo Piano"
"8",32881,"Dmin","Gmin","ii/IV","ii/IV","Gmaj","Cmin","Cmin","Cmin","Rachmaninoff","Prelude Number 5 in G Minor","Minor","Solo Piano"
"9",33839,"Dmin","Gmin","ii/IV","ii/IV","Gmin","Gmaj","Cmin","Cmin","Rachmaninoff","Prelude Number 5 in G Minor","Minor","Solo Piano"
"10",36479,"Cmin","Fmin","iv","iv","Gmin","Gmin","Gmaj","Cmin","Rachmaninoff","Prelude Number 5 in G Minor","Minor","Solo Piano"
"11",44401,"Gmin","Cmin","i","i","Fmin","Gmin","Gmin","Gmaj","Rachmaninoff","Prelude Number 5 in G Minor","Minor","Solo Piano"
"12",44520,"Gmin","Cmin","i","i","Cmin","Fmin","Gmin","Gmin","Rachmaninoff","Prelude Number 5 in G Minor","Minor","Solo Piano"
"13",48361,"Gmin","Cmin","i","i","Cmin","Cmin","Fmin","Gmin","Rachmaninoff","Prelude Number 5 in G Minor","Minor","Solo Piano"
"14",60001,"Dmaj","Gmaj","V","V","Cmin","Cmin","Cmin","Fmin","Rachmaninoff","Prelude Number 5 in G Minor","Minor","Solo Piano"
"15",63600,"Dmaj","Gmaj","V","V","Gmaj","Cmin","Cmin","Cmin","Rachmaninoff","Prelude Number 5 in G Minor","Minor","Solo Piano"
"16",63840,"Dmaj","Gmaj","V","V","Gmaj","Gmaj","Cmin","Cmin","Rachmaninoff","Prelude Number 5 in G Minor","Minor","Solo Piano"
"17",67440,"Dmaj","Gmaj","V","V","Gmaj","Gmaj","Gmaj","Cmin","Rachmaninoff","Prelude Number 5 in G Minor","Minor","Solo Piano"
"18",67680,"Dmaj","Gmaj","V","V","Gmaj","Gmaj","Gmaj","Gmaj","Rachmaninoff","Prelude Number 5 in G Minor","Minor","Solo Piano"
"19",68640,"Cmin7","Fmin7","iv7","iv","Gmaj","Gmaj","Gmaj","Gmaj","Rachmaninoff","Prelude Number 5 in G Minor","Minor","Solo Piano"
"20",71520,"Gmin","Cmin","i","i","Fmin7","Gmaj","Gmaj","Gmaj","Rachmaninoff","Prelude Number 5 in G Minor","Minor","Solo Piano"
"21",72000,"Gmin7","Cmin7","i7","i","Cmin","Fmin7","Gmaj","Gmaj","Rachmaninoff","Prelude Number 5 in G Minor","Minor","Solo Piano"
"22",72960,"Cmin7","Fmin7","iv7","iv","Cmin7","Cmin","Fmin7","Gmaj","Rachmaninoff","Prelude Number 5 in G Minor","Minor","Solo Piano"
"23",74880,"Dmaj","Gmaj","V","V","Fmin7","Cmin7","Cmin","Fmin7","Rachmaninoff","Prelude Number 5 in G Minor","Minor","Solo Piano"
