"","time","chord_named","tran_chord_named","roman_num","norm_roman_num","one_lag_tran","two_lag_tran","three_lag_tran","four_lag_tran","composer","piece","Tonality","Type"
"1",16800,"F#/Gbdom7","Ddom7","V7/V","V/V",NA,NA,NA,NA,"Tchaikovsky","Dance of the Sugar Plum Fairy","Minor","Ballet"
"2",17040,"Bmaj","Gmaj","V","V","Ddom7",NA,NA,NA,"Tchaikovsky","Dance of the Sugar Plum Fairy","Minor","Ballet"
"3",17760,"Edom7","Cdom7","V7/IV","V/IV","Gmaj","Ddom7",NA,NA,"Tchaikovsky","Dance of the Sugar Plum Fairy","Minor","Ballet"
"4",18000,"Amaj","Fmaj","IV","IV","Cdom7","Gmaj","Ddom7",NA,"Tchaikovsky","Dance of the Sugar Plum Fairy","Minor","Ballet"
"5",19440,"Bdom7","Gdom7","V7","V","Fmaj","Cdom7","Gmaj","Ddom7","Tchaikovsky","Dance of the Sugar Plum Fairy","Minor","Ballet"
"6",19680,"Emin","Cmin","i","i","Gdom7","Fmaj","Cdom7","Gmaj","Tchaikovsky","Dance of the Sugar Plum Fairy","Minor","Ballet"
"7",47520,"F#/Gbdom7","Ddom7","V7/V","V/V","Cmin","Gdom7","Fmaj","Cdom7","Tchaikovsky","Dance of the Sugar Plum Fairy","Minor","Ballet"
"8",47760,"Bmaj","Gmaj","V","V","Ddom7","Cmin","Gdom7","Fmaj","Tchaikovsky","Dance of the Sugar Plum Fairy","Minor","Ballet"
"9",48480,"Edom7","Cdom7","V7/IV","V/IV","Gmaj","Ddom7","Cmin","Gdom7","Tchaikovsky","Dance of the Sugar Plum Fairy","Minor","Ballet"
"10",48720,"Amaj","Fmaj","IV","IV","Cdom7","Gmaj","Ddom7","Cmin","Tchaikovsky","Dance of the Sugar Plum Fairy","Minor","Ballet"
"11",50160,"Bdom7","Gdom7","V7","V","Fmaj","Cdom7","Gmaj","Ddom7","Tchaikovsky","Dance of the Sugar Plum Fairy","Minor","Ballet"
"12",50400,"Emin","Cmin","i","i","Gdom7","Fmaj","Cdom7","Gmaj","Tchaikovsky","Dance of the Sugar Plum Fairy","Minor","Ballet"
"13",47040,"F#/Gbdom7","Ddom7","V7/V","V/V","Cmin","Gdom7","Fmaj","Cdom7","Tchaikovsky","Dance of the Sugar Plum Fairy","Minor","Ballet"
"14",48960,"F#/Gbdim","Ddim","iiº","iiº","Ddom7","Cmin","Gdom7","Fmaj","Tchaikovsky","Dance of the Sugar Plum Fairy","Minor","Ballet"
"15",50640,"Emin","Cmin","i","i","Ddim","Ddom7","Cmin","Gdom7","Tchaikovsky","Dance of the Sugar Plum Fairy","Minor","Ballet"
"16",16320,"F#/Gbdom7","Ddom7","V7/V","V/V","Cmin","Ddim","Ddom7","Cmin","Tchaikovsky","Dance of the Sugar Plum Fairy","Minor","Ballet"
"17",17280,"Edom7","Cdom7","V7/IV","V/IV","Ddom7","Cmin","Ddim","Ddom7","Tchaikovsky","Dance of the Sugar Plum Fairy","Minor","Ballet"
"18",20400,"D#/Ebdim","Bdim","viiº","viiº","Cdom7","Ddom7","Cmin","Ddim","Tchaikovsky","Dance of the Sugar Plum Fairy","Minor","Ballet"
"19",20880,"D#/Ebdim","Bdim","viiº","viiº","Bdim","Cdom7","Ddom7","Cmin","Tchaikovsky","Dance of the Sugar Plum Fairy","Minor","Ballet"
"20",21120,"Emin","Cmin","i","i","Bdim","Bdim","Cdom7","Ddom7","Tchaikovsky","Dance of the Sugar Plum Fairy","Minor","Ballet"
"21",21600,"Bmaj","Gmaj","V","V","Cmin","Bdim","Bdim","Cdom7","Tchaikovsky","Dance of the Sugar Plum Fairy","Minor","Ballet"
"22",24240,"D#/Ebdim","Bdim","viiº","viiº","Gmaj","Cmin","Bdim","Bdim","Tchaikovsky","Dance of the Sugar Plum Fairy","Minor","Ballet"
"23",24720,"D#/Ebdim","Bdim","viiº","viiº","Bdim","Gmaj","Cmin","Bdim","Tchaikovsky","Dance of the Sugar Plum Fairy","Minor","Ballet"
"24",24960,"Emin","Cmin","i","i","Bdim","Bdim","Gmaj","Cmin","Tchaikovsky","Dance of the Sugar Plum Fairy","Minor","Ballet"
"25",25440,"Bmaj","Gmaj","V","V","Cmin","Bdim","Bdim","Gmaj","Tchaikovsky","Dance of the Sugar Plum Fairy","Minor","Ballet"
"26",28080,"D#/Ebdim","Bdim","viiº","viiº","Gmaj","Cmin","Bdim","Bdim","Tchaikovsky","Dance of the Sugar Plum Fairy","Minor","Ballet"
"27",28800,"D#/Ebdim","Bdim","viiº","viiº","Bdim","Gmaj","Cmin","Bdim","Tchaikovsky","Dance of the Sugar Plum Fairy","Minor","Ballet"
"28",29280,"D#/Ebdim","Bdim","viiº","viiº","Bdim","Bdim","Gmaj","Cmin","Tchaikovsky","Dance of the Sugar Plum Fairy","Minor","Ballet"
"29",30000,"D#/Ebdim","Bdim","viiº","viiº","Bdim","Bdim","Bdim","Gmaj","Tchaikovsky","Dance of the Sugar Plum Fairy","Minor","Ballet"
"30",30240,"Emin","Cmin","i","i","Bdim","Bdim","Bdim","Bdim","Tchaikovsky","Dance of the Sugar Plum Fairy","Minor","Ballet"
"31",30600,"Emin","Cmin","i","i","Cmin","Bdim","Bdim","Bdim","Tchaikovsky","Dance of the Sugar Plum Fairy","Minor","Ballet"
"32",30720,"Amin","Fmin","iv","iv","Cmin","Cmin","Bdim","Bdim","Tchaikovsky","Dance of the Sugar Plum Fairy","Minor","Ballet"
