"","time","chord_named","tran_chord_named","roman_num","norm_roman_num","one_lag_tran","two_lag_tran","three_lag_tran","four_lag_tran","composer","piece","Tonality","Type"
"1",13995,"Edom7","Cdom7","V7/IV","V/IV",NA,NA,NA,NA,"Brahms","String Quintet No.2 in G, Mvt. 2 Adagio","Minor","String Quintet"
"2",14848,"Emaj","Cmaj","I","I","Cdom7",NA,NA,NA,"Brahms","String Quintet No.2 in G, Mvt. 2 Adagio","Minor","String Quintet"
"3",15360,"Amaj","Fmaj","IV","IV","Cmaj","Cdom7",NA,NA,"Brahms","String Quintet No.2 in G, Mvt. 2 Adagio","Minor","String Quintet"
"4",15488,"Amaj","Fmaj","IV","IV","Fmaj","Cmaj","Cdom7",NA,"Brahms","String Quintet No.2 in G, Mvt. 2 Adagio","Minor","String Quintet"
"5",15616,"Amaj","Fmaj","IV","IV","Fmaj","Fmaj","Cmaj","Cdom7","Brahms","String Quintet No.2 in G, Mvt. 2 Adagio","Minor","String Quintet"
"6",15744,"Amaj","Fmaj","IV","IV","Fmaj","Fmaj","Fmaj","Cmaj","Brahms","String Quintet No.2 in G, Mvt. 2 Adagio","Minor","String Quintet"
"7",15872,"Amaj","Fmaj","IV","IV","Fmaj","Fmaj","Fmaj","Fmaj","Brahms","String Quintet No.2 in G, Mvt. 2 Adagio","Minor","String Quintet"
"8",17920,"Adom7","Fdom7","VI7","VI","Fmaj","Fmaj","Fmaj","Fmaj","Brahms","String Quintet No.2 in G, Mvt. 2 Adagio","Minor","String Quintet"
"9",18944,"Amaj","Fmaj","IV","IV","Fdom7","Fmaj","Fmaj","Fmaj","Brahms","String Quintet No.2 in G, Mvt. 2 Adagio","Minor","String Quintet"
"10",19968,"Adom7","Fdom7","VI7","VI","Fmaj","Fdom7","Fmaj","Fmaj","Brahms","String Quintet No.2 in G, Mvt. 2 Adagio","Minor","String Quintet"
"11",22016,"D#/Eb, F#/Gb, A, C - fulldim7","D, F, G#/Ab, B - fulldim7","viiº7","viiº","Fdom7","Fmaj","Fdom7","Fmaj","Brahms","String Quintet No.2 in G, Mvt. 2 Adagio","Minor","String Quintet"
"12",29696,"Amaj","Fmaj","IV","IV","D, F, G#/Ab, B - fulldim7","Fdom7","Fmaj","Fdom7","Brahms","String Quintet No.2 in G, Mvt. 2 Adagio","Minor","String Quintet"
"13",31744,"Amaj","Fmaj","IV","IV","Fmaj","D, F, G#/Ab, B - fulldim7","Fdom7","Fmaj","Brahms","String Quintet No.2 in G, Mvt. 2 Adagio","Minor","String Quintet"
"14",38912,"Emaj","Cmaj","I","I","Fmaj","Fmaj","D, F, G#/Ab, B - fulldim7","Fdom7","Brahms","String Quintet No.2 in G, Mvt. 2 Adagio","Minor","String Quintet"
"15",41984,"Amaj","Fmaj","IV","IV","Cmaj","Fmaj","Fmaj","D, F, G#/Ab, B - fulldim7","Brahms","String Quintet No.2 in G, Mvt. 2 Adagio","Minor","String Quintet"
"16",42496,"Amaj","Fmaj","IV","IV","Fmaj","Cmaj","Fmaj","Fmaj","Brahms","String Quintet No.2 in G, Mvt. 2 Adagio","Minor","String Quintet"
"17",47104,"Amaj","Fmaj","IV","IV","Fmaj","Fmaj","Cmaj","Fmaj","Brahms","String Quintet No.2 in G, Mvt. 2 Adagio","Minor","String Quintet"
"18",50688,"Adom7","Fdom7","VI7","VI","Fmaj","Fmaj","Fmaj","Cmaj","Brahms","String Quintet No.2 in G, Mvt. 2 Adagio","Minor","String Quintet"
"19",57685,"Amaj","Fmaj","IV","IV","Fdom7","Fmaj","Fmaj","Fmaj","Brahms","String Quintet No.2 in G, Mvt. 2 Adagio","Minor","String Quintet"
"20",58709,"Amaj","Fmaj","IV","IV","Fmaj","Fdom7","Fmaj","Fmaj","Brahms","String Quintet No.2 in G, Mvt. 2 Adagio","Minor","String Quintet"
"21",75264,"G#/Abmaj","Emaj","III","III","Fmaj","Fmaj","Fdom7","Fmaj","Brahms","String Quintet No.2 in G, Mvt. 2 Adagio","Minor","String Quintet"
"22",79531,"Adom7","Fdom7","VI7","VI","Emaj","Fmaj","Fmaj","Fdom7","Brahms","String Quintet No.2 in G, Mvt. 2 Adagio","Minor","String Quintet"
"23",80384,"Amaj","Fmaj","IV","IV","Fdom7","Emaj","Fmaj","Fmaj","Brahms","String Quintet No.2 in G, Mvt. 2 Adagio","Minor","String Quintet"
