"","time","chord_named","tran_chord_named","roman_num","norm_roman_num","one_lag_tran","two_lag_tran","three_lag_tran","four_lag_tran","composer","piece","Tonality","Type"
"1",960,"A#/Bbmaj","Amaj","VI","VI",NA,NA,NA,NA,"Dvorak","Symphony 9, Mvt. 2 Largo","Major","Symphony"
"2",2880,"C#/Dbmaj","Cmaj","I","I","Amaj",NA,NA,NA,"Dvorak","Symphony 9, Mvt. 2 Largo","Major","Symphony"
"3",4800,"F#/Gbmin","Fmin","iv","iv","Cmaj","Amaj",NA,NA,"Dvorak","Symphony 9, Mvt. 2 Largo","Major","Symphony"
"4",5760,"C#/Dbmaj","Cmaj","I","I","Fmin","Cmaj","Amaj",NA,"Dvorak","Symphony 9, Mvt. 2 Largo","Major","Symphony"
"5",19200,"F#/Gbmaj","Fmaj","IV","IV","Cmaj","Fmin","Cmaj","Amaj","Dvorak","Symphony 9, Mvt. 2 Largo","Major","Symphony"
"6",30720,"D#/Ebhalfdim7","Dhalfdim7","iiø7","iiº","Fmaj","Cmaj","Fmin","Cmaj","Dvorak","Symphony 9, Mvt. 2 Largo","Major","Symphony"
"7",32640,"D#/Ebmin","Dmin","ii","ii","Dhalfdim7","Fmaj","Cmaj","Fmin","Dvorak","Symphony 9, Mvt. 2 Largo","Major","Symphony"
"8",36480,"C#/Dbmaj","Cmaj","I","I","Dmin","Dhalfdim7","Fmaj","Cmaj","Dvorak","Symphony 9, Mvt. 2 Largo","Major","Symphony"
"9",38400,"C#/Dbmaj","Cmaj","I","I","Cmaj","Dmin","Dhalfdim7","Fmaj","Dvorak","Symphony 9, Mvt. 2 Largo","Major","Symphony"
"10",39360,"A#/Bbmaj","Amaj","VI","VI","Cmaj","Cmaj","Dmin","Dhalfdim7","Dvorak","Symphony 9, Mvt. 2 Largo","Major","Symphony"
"11",40320,"F#/Gbdom7","Fdom7","VI7","VI","Amaj","Cmaj","Cmaj","Dmin","Dvorak","Symphony 9, Mvt. 2 Largo","Major","Symphony"
"12",41280,"D#/Ebmin","Dmin","ii","ii","Fdom7","Amaj","Cmaj","Cmaj","Dvorak","Symphony 9, Mvt. 2 Largo","Major","Symphony"
"13",42240,"C#/Dbmaj","Cmaj","I","I","Dmin","Fdom7","Amaj","Cmaj","Dvorak","Symphony 9, Mvt. 2 Largo","Major","Symphony"
"14",45120,"C#/Dbmaj","Cmaj","I","I","Cmaj","Dmin","Fdom7","Amaj","Dvorak","Symphony 9, Mvt. 2 Largo","Major","Symphony"
"15",48000,"A#/Bbmin","Amin","vi","vi","Cmaj","Cmaj","Dmin","Fdom7","Dvorak","Symphony 9, Mvt. 2 Largo","Major","Symphony"
"16",49920,"C#/Dbmaj","Cmaj","I","I","Amin","Cmaj","Cmaj","Dmin","Dvorak","Symphony 9, Mvt. 2 Largo","Major","Symphony"
"17",51840,"A#/Bbmin","Amin","vi","vi","Cmaj","Amin","Cmaj","Cmaj","Dvorak","Symphony 9, Mvt. 2 Largo","Major","Symphony"
"18",57600,"A#/Bbmin","Amin","vi","vi","Amin","Cmaj","Amin","Cmaj","Dvorak","Symphony 9, Mvt. 2 Largo","Major","Symphony"
"19",67680,"Fmin","Emin","iii","iii","Amin","Amin","Cmaj","Amin","Dvorak","Symphony 9, Mvt. 2 Largo","Major","Symphony"
"20",68160,"D#/Ebmin7","Dmin7","ii7","ii","Emin","Amin","Amin","Cmaj","Dvorak","Symphony 9, Mvt. 2 Largo","Major","Symphony"
"21",69120,"C#/Dbmaj","Cmaj","I","I","Dmin7","Emin","Amin","Amin","Dvorak","Symphony 9, Mvt. 2 Largo","Major","Symphony"
"22",70080,"D#/Ebmin7","Dmin7","ii7","ii","Cmaj","Dmin7","Emin","Amin","Dvorak","Symphony 9, Mvt. 2 Largo","Major","Symphony"
"23",71040,"C#/Dbmaj","Cmaj","I","I","Dmin7","Cmaj","Dmin7","Emin","Dvorak","Symphony 9, Mvt. 2 Largo","Major","Symphony"
"24",72000,"D#/Ebmin7","Dmin7","ii7","ii","Cmaj","Dmin7","Cmaj","Dmin7","Dvorak","Symphony 9, Mvt. 2 Largo","Major","Symphony"
"25",23040,"C#/Dbmaj","Cmaj","I","I","Dmin7","Cmaj","Dmin7","Cmaj","Dvorak","Symphony 9, Mvt. 2 Largo","Major","Symphony"
"26",24960,"Cdim","Bdim","viiº","viiº","Cmaj","Dmin7","Cmaj","Dmin7","Dvorak","Symphony 9, Mvt. 2 Largo","Major","Symphony"
"27",26880,"C#/Dbmaj","Cmaj","I","I","Bdim","Cmaj","Dmin7","Cmaj","Dvorak","Symphony 9, Mvt. 2 Largo","Major","Symphony"
"28",27360,"G#/Abmaj","Gmaj","V","V","Cmaj","Bdim","Cmaj","Dmin7","Dvorak","Symphony 9, Mvt. 2 Largo","Major","Symphony"
"29",27840,"A#/Bbmin","Amin","vi","vi","Gmaj","Cmaj","Bdim","Cmaj","Dvorak","Symphony 9, Mvt. 2 Largo","Major","Symphony"
"30",29760,"C#/Dbmaj","Cmaj","I","I","Amin","Gmaj","Cmaj","Bdim","Dvorak","Symphony 9, Mvt. 2 Largo","Major","Symphony"
